County,State,Republic,Democrate,Win
Abbeville County,SC,0.661,0.33,R
Abbot County,ME,0.691,0.29,R
Abington County,MA,0.439,0.537,D
Acadia County,LA,0.795,0.191,R
Accomack County,VA,0.542,0.447,R
Acton County,ME,0.568,0.398,R
Acton County,MA,0.177,0.798,D
Acushnet County,MA,0.547,0.437,R
Acworth County,NH,0.473,0.515,D
Ada County,ID,0.504,0.465,R
Adair County,IA,0.697,0.286,R
Adair County,KY,0.83,0.159,R
Adair County,MO,0.618,0.358,R
Adair County,OK,0.786,0.195,R
Adams County,PA,0.663,0.322,R
Adams County,CO,0.404,0.567,D
Adams County,IA,0.708,0.273,R
Adams County,ID,0.751,0.229,R
Adams County,IL,0.722,0.256,R
Adams County,IN,0.75,0.227,R
Adams County,WA,0.675,0.306,R
Adams County,ND,0.773,0.203,R
Adams County,NE,0.691,0.289,R
Adams County,OH,0.811,0.179,R
Adams County,WI,0.623,0.366,R
Adams County,MA,0.322,0.652,D
Adams County,MS,0.426,0.564,D
Addison County,ME,0.638,0.332,R
Addison County,VT,0.436,0.511,D
Agawam County,MA,0.499,0.481,R
Aiken County,SC,0.606,0.379,R
Aitkin County,MN,0.625,0.36,R
Alachua County,FL,0.356,0.627,D
Alamance County,NC,0.537,0.451,R
Alameda County,CA,0.176,0.804,D
Alamosa County,CO,0.489,0.482,R
Albany County,VT,0.435,0.53,D
Albany County,NH,0.423,0.557,D
Albany County,WY,0.461,0.488,R
Albany County,NY,0.375,0.602,D
Albemarle County,VA,0.324,0.661,D
Albion County,ME,0.657,0.316,R
Alburgh County,VT,0.462,0.51,D
Alcona County,MI,0.686,0.303,R
Alcorn County,MS,0.811,0.175,R
Alexander County,ME,0.727,0.237,R
Alexander County,NC,0.786,0.204,R
Alexander County,IL,0.543,0.448,R
Alexandria County,NH,0.57,0.407,R
Alexandria city County,VA,0.178,0.81,D
Alfalfa County,OK,0.874,0.103,R
Alford County,MA,0.154,0.834,D
Alfred County,ME,0.475,0.493,R
Alger County,MI,0.587,0.4,R
Allagash County,ME,0.562,0.438,R
Allamakee County,IA,0.635,0.345,R
Allegan County,MI,0.616,0.364,R
Allegany County,MD,0.694,0.291,R
Allegany County,NY,0.734,0.242,R
Alleghany County,VA,0.715,0.274,R
Alleghany County,NC,0.745,0.245,R
Allegheny County,PA,0.39,0.595,D
Allen County,IN,0.544,0.431,R
Allen County,KS,0.711,0.267,R
Allen County,LA,0.772,0.215,R
Allen County,KY,0.81,0.175,R
Allen County,OH,0.691,0.294,R
Allendale County,SC,0.232,0.756,D
Allenstown County,NH,0.53,0.452,R
Alna County,ME,0.337,0.619,D
Alpena County,MI,0.63,0.354,R
Alpine County,CA,0.323,0.643,D
Alstead County,NH,0.401,0.575,D
Alton County,NH,0.62,0.368,R
Amador County,CA,0.609,0.366,R
Amelia County,VA,0.684,0.306,R
Amesbury County,MA,0.32,0.653,D
Amherst County,VA,0.622,0.32,R
Amherst County,NH,0.394,0.589,D
Amherst County,MA,0.075,0.902,D
Amite County,MS,0.633,0.354,R
Anderson County,SC,0.703,0.283,R
Anderson County,TN,0.652,0.33,R
Anderson County,TX,0.786,0.205,R
Anderson County,KS,0.773,0.206,R
Anderson County,KY,0.728,0.252,R
Andover County,VT,0.362,0.592,D
Andover County,CT,0.477,0.506,D
Andover County,NH,0.455,0.529,D
Andover County,ME,0.545,0.414,R
Andover County,MA,0.315,0.661,D
Andrew County,MO,0.742,0.241,R
Andrews County,TX,0.843,0.145,R
Angelina County,TX,0.724,0.264,R
Anne Arundel County,MD,0.42,0.559,D
Anoka County,MN,0.498,0.479,R
Anson County,ME,0.651,0.325,R
Anson County,NC,0.476,0.518,D
Ansonia County,CT,0.451,0.537,D
Antelope County,NE,0.863,0.126,R
Antrim County,NH,0.492,0.48,R
Antrim County,MI,0.564,0.42,R
Apache County,AZ,0.327,0.661,D
Appanoose County,IA,0.694,0.291,R
Appleton County,ME,0.445,0.522,D
Appling County,GA,0.782,0.213,R
Appomattox County,VA,0.725,0.262,R
Aquinnah County,MA,0.096,0.879,D
Aransas County,TX,0.752,0.237,R
Arapahoe County,CO,0.364,0.61,D
Archer County,TX,0.897,0.093,R
Archuleta County,CO,0.568,0.409,R
Arenac County,MI,0.671,0.314,R
Arkansas County,AR,0.684,0.289,R
Arlington County,MA,0.155,0.826,D
Arlington County,VT,0.343,0.624,D
Arlington County,VA,0.172,0.813,D
Armstrong County,TX,0.931,0.067,R
Armstrong County,PA,0.756,0.233,R
Aroostook Cty Townships County,ME,0.495,0.464,R
Arrowsic County,ME,0.279,0.697,D
Arthur County,NE,0.915,0.074,R
Arundel County,ME,0.477,0.497,R
Ascension County,LA,0.653,0.327,R
Ashburnham County,MA,0.438,0.528,D
Ashby County,MA,0.499,0.473,R
Ashe County,NC,0.724,0.264,R
Ashfield County,MA,0.148,0.815,D
Ashford County,CT,0.456,0.523,D
Ashland County,NH,0.461,0.519,D
Ashland County,OH,0.734,0.249,R
Ashland County,WI,0.439,0.548,D
Ashland County,MA,0.281,0.695,D
Ashley County,AR,0.7,0.268,R
Ashtabula County,OH,0.606,0.375,R
Asotin County,WA,0.615,0.359,R
Assumption County,LA,0.647,0.341,R
Atascosa County,TX,0.665,0.324,R
Atchison County,KS,0.66,0.316,R
Atchison County,MO,0.781,0.2,R
Athens County,OH,0.418,0.565,D
Athens County,VT,0.393,0.561,D
Athens County,ME,0.651,0.327,R
Athol County,MA,0.472,0.49,R
Atkinson County,GA,0.729,0.261,R
Atkinson County,ME,0.705,0.283,R
Atkinson County,NH,0.548,0.441,R
Atlantic County,NJ,0.462,0.523,D
Atoka County,OK,0.846,0.142,R
Attala County,MS,0.586,0.401,R
Attleboro County,MA,0.394,0.579,D
Auburn County,NH,0.576,0.412,R
Auburn County,MA,0.422,0.55,D
Auburn County,ME,0.439,0.523,D
Audrain County,MO,0.725,0.254,R
Audubon County,IA,0.672,0.314,R
Auglaize County,OH,0.805,0.18,R
Augusta County,VA,0.728,0.257,R
Augusta County,ME,0.427,0.539,D
Aurora County,SD,0.749,0.226,R
Austin County,TX,0.785,0.204,R
Autauga County,AL,0.715,0.27,R
Avery County,NC,0.759,0.232,R
Avon County,CT,0.373,0.609,D
Avon County,MA,0.382,0.593,D
Avoyelles County,LA,0.696,0.288,R
Ayer County,MA,0.332,0.634,D
Baca County,CO,0.839,0.143,R
Bacon County,GA,0.861,0.134,R
Bailey County,TX,0.771,0.22,R
Baileyville County,ME,0.626,0.355,R
Baker County,GA,0.577,0.419,R
Baker County,FL,0.846,0.145,R
Baker County,OR,0.741,0.236,R
Bakersfield County,VT,0.391,0.568,D
Baldwin County,ME,0.624,0.35,R
Baldwin County,AL,0.762,0.223,R
Baldwin County,GA,0.488,0.501,D
Ballard County,KY,0.794,0.195,R
Baltimore County,VT,0.503,0.441,R
Baltimore County,MD,0.376,0.607,D
Baltimore city County,MD,0.108,0.877,D
Bamberg County,SC,0.373,0.619,D
Bandera County,TX,0.791,0.197,R
Bangor County,ME,0.375,0.584,D
Banks County,GA,0.886,0.106,R
Banner County,NE,0.883,0.105,R
Bannock County,ID,0.59,0.371,R
Bar Harbor County,ME,0.225,0.749,D
Baraga County,MI,0.622,0.366,R
Barber County,KS,0.861,0.123,R
Barbour County,WV,0.766,0.218,R
Barbour County,AL,0.536,0.456,R
Barkhamsted County,CT,0.503,0.473,R
Barnard County,VT,0.265,0.695,D
Barnes County,ND,0.641,0.327,R
Barnet County,VT,0.399,0.57,D
Barnstable County,MA,0.4,0.58,D
Barnstead County,NH,0.581,0.394,R
Barnwell County,SC,0.532,0.457,R
Barre County,VT,0.341,0.625,D
Barre County,MA,0.482,0.483,R
Barre Town County,VT,0.439,0.527,D
Barren County,KY,0.729,0.255,R
Barrington County,RI,0.269,0.717,D
Barrington County,NH,0.455,0.523,D
Barron County,WI,0.623,0.363,R
Barrow County,GA,0.705,0.275,R
Barry County,MO,0.797,0.189,R
Barry County,MI,0.654,0.329,R
Bartholomew County,IN,0.617,0.356,R
Bartlett County,NH,0.356,0.633,D
Barton County,VT,0.44,0.53,D
Barton County,KS,0.774,0.21,R
Barton County,MO,0.85,0.139,R
Bartow County,GA,0.747,0.24,R
Bastrop County,TX,0.558,0.421,R
Bates County,MO,0.782,0.198,R
Bath County,VA,0.726,0.268,R
Bath County,NH,0.567,0.416,R
Bath County,ME,0.299,0.665,D
Bath County,KY,0.708,0.28,R
Baxter County,AR,0.754,0.221,R
Bay County,MI,0.547,0.437,R
Bay County,FL,0.709,0.275,R
Bayfield County,WI,0.424,0.565,D
Baylor County,TX,0.88,0.107,R
Beacon Falls County,CT,0.576,0.406,R
Beadle County,SD,0.679,0.298,R
Bear Lake County,ID,0.875,0.109,R
Beaufort County,SC,0.544,0.444,R
Beaufort County,NC,0.626,0.366,R
Beauregard County,LA,0.83,0.155,R
Beaver County,UT,0.869,0.116,R
Beaver County,PA,0.581,0.406,R
Beaver County,OK,0.904,0.087,R
Beaverhead County,MT,0.693,0.284,R
Becker County,MN,0.641,0.339,R
Beckham County,OK,0.851,0.132,R
Bedford County,VA,0.734,0.251,R
Bedford County,TN,0.752,0.233,R
Bedford County,NH,0.478,0.51,D
Bedford County,MA,0.258,0.716,D
Bedford County,PA,0.835,0.158,R
Bee County,TX,0.638,0.349,R
Belchertown County,MA,0.361,0.612,D
Belfast County,ME,0.297,0.672,D
Belgrade County,ME,0.524,0.446,R
Bell County,KY,0.81,0.178,R
Bell County,TX,0.533,0.445,R
Bellingham County,MA,0.446,0.526,D
Belmont County,OH,0.71,0.277,R
Belmont County,NH,0.584,0.397,R
Belmont County,MA,0.195,0.777,D
Belmont County,ME,0.533,0.433,R
Beltrami County,MN,0.505,0.473,R
Belvidere County,VT,0.528,0.449,R
Ben Hill County,GA,0.627,0.365,R
Benewah County,ID,0.78,0.197,R
Bennett County,SD,0.587,0.394,R
Bennington County,VT,0.349,0.616,D
Bennington County,NH,0.507,0.472,R
Benson County,VT,0.523,0.443,R
Benson County,ND,0.558,0.419,R
Bent County,CO,0.659,0.324,R
Benton County,AR,0.618,0.352,R
Benton County,IA,0.628,0.352,R
Benton County,IN,0.731,0.245,R
Benton County,MN,0.647,0.328,R
Benton County,MO,0.774,0.208,R
Benton County,WA,0.592,0.377,R
Benton County,TN,0.781,0.21,R
Benton County,OR,0.282,0.679,D
Benton County,NH,0.609,0.379,R
Benton County,ME,0.603,0.372,R
Benton County,MS,0.6,0.39,R
Benzie County,MI,0.538,0.447,R
Bergen County,NJ,0.408,0.578,D
Berkeley County,WV,0.652,0.327,R
Berkeley County,SC,0.549,0.433,R
Berkley County,MA,0.552,0.429,R
Berks County,PA,0.534,0.452,R
Berkshire County,VT,0.563,0.398,R
Berlin County,CT,0.519,0.467,R
Berlin County,NH,0.456,0.528,D
Berlin County,VT,0.339,0.626,D
Berlin County,MA,0.362,0.606,D
Bernalillo County,NM,0.367,0.609,D
Bernardston County,MA,0.307,0.666,D
Berrien County,GA,0.829,0.164,R
Berrien County,MI,0.528,0.454,R
Bertie County,NC,0.39,0.604,D
Berwick County,ME,0.318,0.667,D
Bethany County,CT,0.465,0.517,D
Bethel County,ME,0.409,0.55,D
Bethel County,CT,0.424,0.561,D
Bethel County,VT,0.332,0.635,D
Bethlehem County,CT,0.589,0.396,R
Bethlehem County,NH,0.371,0.611,D
Beverly County,MA,0.293,0.681,D
Bexar County,TX,0.402,0.583,D
Bibb County,GA,0.375,0.614,D
Bibb County,AL,0.784,0.207,R
Biddeford County,ME,0.331,0.627,D
Bienville County,LA,0.552,0.435,R
Big Horn County,MT,0.468,0.514,D
Big Horn County,WY,0.836,0.137,R
Big Stone County,MN,0.627,0.354,R
Billerica County,MA,0.439,0.538,D
Billings County,ND,0.852,0.113,R
Bingham County,ME,0.602,0.371,R
Bingham County,ID,0.761,0.205,R
Black Hawk County,IA,0.445,0.535,D
Blackford County,IN,0.717,0.257,R
Blackstone County,MA,0.498,0.477,R
Bladen County,NC,0.566,0.428,R
Blaine County,OK,0.804,0.176,R
Blaine County,ID,0.303,0.671,D
Blaine County,MT,0.471,0.509,D
Blaine County,NE,0.883,0.11,R
Blair County,PA,0.712,0.278,R
Blanco County,TX,0.732,0.257,R
Bland County,VA,0.835,0.153,R
Bleckley County,GA,0.758,0.23,R
Bledsoe County,TN,0.821,0.169,R
Bloomfield County,VT,0.562,0.423,R
Bloomfield County,CT,0.132,0.859,D
Blount County,TN,0.712,0.269,R
Blount County,AL,0.896,0.096,R
Blue Earth County,MN,0.465,0.51,D
Blue Hill County,ME,0.316,0.663,D
Boise County,ID,0.722,0.251,R
Bolivar County,MS,0.366,0.619,D
Bollinger County,MO,0.863,0.125,R
Bolton County,CT,0.451,0.525,D
Bolton County,MA,0.302,0.667,D
Bolton County,VT,0.28,0.69,D
Bon Homme County,SD,0.745,0.24,R
Bond County,IL,0.692,0.281,R
Bonner County,ID,0.672,0.304,R
Bonneville County,ID,0.7,0.264,R
Boone County,WV,0.756,0.226,R
Boone County,NE,0.825,0.155,R
Boone County,KY,0.669,0.312,R
Boone County,MO,0.424,0.549,D
Boone County,IL,0.558,0.42,R
Boone County,AR,0.798,0.179,R
Boone County,IN,0.581,0.396,R
Boone County,IA,0.568,0.412,R
Boothbay County,ME,0.418,0.557,D
Boothbay Harbor County,ME,0.391,0.584,D
Borden County,TX,0.959,0.039,R
Boscawen County,NH,0.522,0.456,R
Bosque County,TX,0.819,0.171,R
Bossier County,LA,0.697,0.287,R
Boston County,MA,0.156,0.825,D
Botetourt County,VA,0.717,0.271,R
Bottineau County,ND,0.742,0.237,R
Boulder County,CO,0.203,0.776,D
Boundary County,ID,0.782,0.193,R
Bourbon County,KS,0.75,0.23,R
Bourbon County,KY,0.642,0.342,R
Bourne County,MA,0.446,0.531,D
Bow County,NH,0.393,0.591,D
Bowdoin County,ME,0.575,0.402,R
Bowdoinham County,ME,0.414,0.543,D
Bowie County,TX,0.708,0.28,R
Bowman County,ND,0.842,0.138,R
Box Butte County,NE,0.772,0.203,R
Box Elder County,UT,0.798,0.166,R
Boxborough County,MA,0.231,0.742,D
Boxford County,MA,0.411,0.562,D
Boyd County,NE,0.876,0.117,R
Boyd County,KY,0.658,0.326,R
Boyle County,KY,0.613,0.366,R
