Date,County,State,Series_Complete_Pop_Pct,Fully_Vaccinated,Fully_Vaccinated_12+,Fully_Vaccinated_18+,Fully_Vaccinated_65+,Completeness_pct,Administered_Dose1_Recip,Partially_Vaccinated,Partially_Vaccinated_12+,Partially_Vaccinated_18+,Partially_Vaccinated_65+
2021-10-28,Marengo County,AL,49.2,9272,57.7,60.1,78.0,92.6,11422.0,60.6,71.0,73.5,90.0
2021-10-28,Taylor County,KY,48.6,12516,57.3,59.3,82.4,94.4,14120.0,54.8,64.7,66.8,89.5
2021-10-28,Jefferson County,AR,37.7,25225,44.0,45.0,61.7,90.3,32370.0,48.4,56.4,57.2,74.0
2021-10-28,Musselshell County,MT,31.1,1443,35.2,37.4,53.9,95.7,1574.0,34.0,38.4,40.7,56.4
2021-10-28,Powder River County,MT,19.6,330,21.9,23.3,37.8,95.7,362.0,21.5,24.0,25.5,39.7
2021-10-28,Henry County,IN,47.8,22954,54.8,57.6,84.0,98.7,24602.0,51.3,58.8,61.5,86.7
2021-10-28,Catawba County,NC,49.1,78378,57.1,59.1,84.6,97.3,93765.0,58.8,68.3,70.9,99.9
2021-10-28,Ohio County,WV,12.6,5232,14.4,14.3,15.4,60.0,7377.0,17.8,20.4,20.1,20.2
2021-10-28,Adams County,WA,50.9,10165,67.4,73.9,86.9,96.1,11254.0,56.3,74.7,81.1,91.9
2021-10-28,McDowell County,NC,46.7,21385,53.5,55.9,77.4,97.3,24243.0,53.0,60.7,63.2,83.9
2021-10-28,Guayanilla Municipio,PR,72.5,12782,81.3,80.4,85.6,95.8,14086.0,79.9,89.6,88.6,94.3
2021-10-28,Murray County,GA,16.1,6442,19.0,19.4,19.4,57.9,6745.0,16.8,0.0,0.0,0.0
2021-10-28,Castro County,TX,37.2,2802,45.7,48.2,70.8,99.1,3432.0,45.6,56.0,58.9,78.8
2021-10-28,Baltimore city,MD,56.8,337038,66.0,67.5,80.3,98.7,375128.0,63.2,73.5,74.9,85.9
2021-10-28,Crane County,TX,31.5,1512,38.9,40.8,60.4,99.1,2091.0,43.6,53.8,56.6,77.9
2021-10-28,Titus County,TX,33.7,11043,41.7,44.1,62.7,99.1,13386.0,40.9,50.5,53.4,70.0
2021-10-28,Roane County,WV,5.2,716,6.0,5.8,7.0,60.0,1181.0,8.6,9.9,9.7,9.4
2021-10-28,Jim Wells County,TX,49.2,19935,60.1,63.0,80.4,99.1,23428.0,57.9,70.6,72.9,89.4
2021-10-28,Kearney County,NE,42.8,2779,50.8,52.8,68.7,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,Dutchess County,NY,62.3,183313,70.5,71.7,85.3,97.6,200290.0,68.1,77.0,78.2,93.6
2021-10-28,Floyd County,IN,52.5,41231,61.6,63.5,91.3,98.7,44588.0,56.8,66.6,68.4,95.0
2021-10-28,Indiana County,PA,42.7,35919,48.3,50.2,78.7,94.5,41924.0,49.9,56.4,58.5,94.2
2021-10-28,McPherson County,KS,49.8,14215,58.3,61.2,84.6,93.6,15540.0,54.4,63.7,66.8,90.9
2021-10-28,Lake County,CA,52.7,33932,61.4,63.8,75.7,97.4,38512.0,59.8,69.7,72.1,83.7
2021-10-28,Dickinson County,KS,47.5,8768,55.6,59.4,75.2,93.6,9593.0,51.9,60.9,64.7,80.0
2021-10-28,Monona County,IA,49.8,4289,57.8,61.5,82.4,97.5,4499.0,52.2,60.6,64.2,85.7
2021-10-28,Wicomico County,MD,49.9,51747,58.4,60.5,87.2,98.7,56583.0,54.6,63.9,66.0,92.2
2021-10-28,Mecklenburg County,VA,40.5,12386,46.0,48.3,63.2,82.7,13942.0,45.6,51.8,54.0,68.2
2021-10-28,Comerio Municipio,PR,60.6,11299,67.9,67.8,65.2,95.8,13191.0,70.7,79.3,78.8,74.4
2021-10-28,Pulaski County,VA,40.8,13882,46.0,47.2,62.0,82.7,15758.0,46.3,52.2,53.4,66.8
2021-10-28,Buffalo County,NE,36.2,17969,42.9,44.0,51.0,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,Clinton County,OH,42.0,17647,49.3,52.0,79.9,98.7,18777.0,44.7,52.5,55.1,82.7
2021-10-28,Saline County,AR,44.0,53876,51.6,52.7,60.1,90.3,62033.0,50.7,59.4,60.2,66.4
2021-10-28,Madison County,OH,45.6,20387,52.4,54.2,80.1,98.7,21492.0,48.0,55.2,57.0,83.0
2021-10-28,Ray County,MO,35.8,8236,41.8,43.7,59.5,91.2,9074.0,39.4,46.1,48.0,64.0
2021-10-28,Sedgwick County,CO,46.7,1050,53.1,56.7,82.1,97.4,1136.0,50.5,57.5,61.4,87.5
2021-10-28,Maricao Municipio,PR,61.6,3345,69.1,68.9,67.2,95.8,3690.0,68.0,76.2,75.7,74.5
2021-10-28,Union County,GA,14.0,3425,15.5,15.8,14.7,57.9,3669.0,15.0,16.5,16.8,15.9
2021-10-28,Randolph County,WV,28.5,8176,32.5,33.7,50.8,60.0,9808.0,34.2,39.0,40.1,57.4
2021-10-28,Waushara County,WI,40.4,9871,45.7,47.5,69.3,97.0,10527.0,43.1,48.7,50.4,71.9
2021-10-28,Delaware County,PA,65.6,371523,76.6,77.3,94.7,94.5,466356.0,82.3,96.2,97.3,99.9
2021-10-28,Hettinger County,ND,35.0,875,42.6,45.8,75.5,95.4,999.0,40.0,48.7,52.3,83.3
2021-10-28,Cape Girardeau County,MO,44.1,34753,51.2,53.3,80.3,91.2,39042.0,49.5,57.6,59.7,87.0
2021-10-28,Caldwell Parish,LA,34.7,3438,40.8,43.4,70.8,96.7,3832.0,38.6,45.5,48.2,77.3
2021-10-28,Kanawha County,WV,31.5,56192,36.3,37.3,49.6,60.0,74760.0,42.0,48.2,49.1,59.3
2021-10-28,Tuscaloosa County,AL,38.9,81376,45.3,46.5,72.5,92.6,96853.0,46.3,53.9,55.3,82.6
2021-10-28,Talladega County,AL,32.8,26220,37.9,39.8,61.3,92.6,32049.0,40.1,46.3,48.4,70.2
2021-10-28,Hardin County,IL,36.0,1375,40.3,43.0,65.3,97.8,1682.0,44.0,49.3,52.2,76.0
2021-10-28,Lincoln County,ID,34.0,1823,0.0,46.8,76.4,97.6,2063.0,38.4,0.0,52.9,82.6
2021-10-28,Grant County,IN,38.5,25323,44.5,46.9,77.0,98.7,27243.0,41.4,47.9,50.3,79.6
2021-10-28,Pike County,OH,39.3,10909,46.2,48.9,72.2,98.7,11968.0,43.1,50.6,53.3,76.0
2021-10-28,Lyman County,SD,52.8,1997,65.9,68.4,80.4,96.4,2441.0,64.6,80.5,82.3,92.5
2021-10-28,Danville city,VA,33.4,13375,39.0,41.3,59.2,82.7,15595.0,38.9,45.4,47.7,65.2
2021-10-28,Beltrami County,MN,52.1,24580,62.9,64.2,91.1,94.5,28875.0,61.2,73.8,75.3,98.4
2021-10-28,Hardy County,WV,24.4,3355,28.1,29.6,40.2,60.0,3870.0,28.1,32.4,33.8,43.9
2021-10-28,Pender County,NC,45.5,28688,53.1,55.4,77.0,97.3,34502.0,54.7,63.9,66.5,90.4
2021-10-28,Pittsburg County,OK,40.0,17462,46.9,49.1,65.6,93.9,20601.0,47.2,55.3,57.8,73.1
2021-10-28,Volusia County,FL,54.1,299409,61.1,62.8,85.2,98.7,338863.0,61.2,69.2,71.1,94.9
2021-10-28,Jefferson County,KY,60.8,466268,71.3,72.8,85.7,94.4,539951.0,70.4,82.5,84.1,97.9
2021-10-28,Carbon County,UT,41.3,8454,49.4,52.3,76.8,97.5,9897.0,48.4,57.9,60.8,86.6
2021-10-28,Garfield County,UT,49.4,2493,57.1,61.4,70.6,97.5,2888.0,57.2,66.2,70.7,78.2
2021-10-28,Custer County,NE,34.9,3760,41.4,44.5,67.9,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,Perry County,KY,56.1,14442,66.3,69.0,88.1,94.4,16368.0,63.5,75.2,77.8,94.8
2021-10-28,Smith County,MS,30.2,4812,35.4,37.1,50.2,98.3,5565.0,35.0,41.0,42.7,54.1
2021-10-28,Gray County,TX,35.7,7804,42.9,45.6,70.2,99.1,8842.0,40.4,48.6,51.4,76.7
2021-10-28,Summers County,WV,17.9,2256,19.9,19.2,23.9,60.0,2758.0,21.9,24.3,23.4,27.9
2021-10-28,Duchesne County,UT,36.8,7334,47.4,50.8,80.0,97.5,9115.0,45.7,58.7,62.3,92.1
2021-10-28,Scotland County,MO,23.8,1167,29.7,31.8,54.3,91.2,1339.0,27.3,34.0,36.4,61.7
2021-10-28,Caguas Municipio,PR,71.6,89161,80.2,80.4,79.9,95.8,99142.0,79.6,89.1,89.1,89.0
2021-10-28,Clark County,WI,33.6,11696,41.8,45.6,75.6,97.0,12307.0,35.4,43.9,47.9,77.0
2021-10-28,Woodward County,OK,34.2,6909,40.7,43.2,71.9,93.9,7922.0,39.2,46.7,49.4,81.2
2021-10-28,Norton city,VA,30.9,1232,36.2,37.8,54.7,82.7,1583.0,39.8,46.4,47.6,66.5
2021-10-28,Holmes County,OH,16.5,7251,20.6,23.0,49.4,98.7,7665.0,17.4,21.8,24.3,50.8
2021-10-28,Williamson County,TN,58.5,139588,70.0,73.4,95.8,97.9,152850.0,64.1,76.7,79.8,99.9
2021-10-28,Kiowa County,CO,34.1,479,40.8,43.5,67.9,97.4,505.0,35.9,43.1,45.5,67.9
2021-10-28,Dane County,WI,73.8,403309,85.2,86.0,99.9,97.0,427024.0,78.1,90.2,90.7,99.9
2021-10-28,Bowie County,TX,34.2,31883,40.5,42.9,65.8,99.1,37955.0,40.7,48.2,50.9,74.3
2021-10-28,Camden County,NJ,59.6,301747,69.9,71.5,80.3,93.6,343445.0,67.8,79.6,81.4,92.4
2021-10-28,Moore County,TX,39.2,8211,50.0,55.0,73.5,99.1,10589.0,50.6,64.4,70.6,84.6
2021-10-28,Obion County,TN,35.6,10718,41.5,44.3,70.8,97.9,12576.0,41.8,48.7,51.8,77.6
2021-10-28,Lavaca County,TX,38.9,7831,45.6,49.2,72.9,99.1,8589.0,42.6,50.0,53.8,77.1
2021-10-28,Shelby County,AL,32.2,70015,37.7,38.9,48.8,92.6,86206.0,39.6,46.4,47.8,57.3
2021-10-28,Niobrara County,WY,26.3,620,30.0,31.7,58.9,96.4,690.0,29.3,33.4,35.2,64.4
2021-10-28,Brookings County,SD,44.2,15499,51.5,52.1,79.4,96.4,17788.0,50.7,59.1,59.7,90.8
2021-10-28,Putnam County,WV,17.2,9693,19.9,20.4,28.8,60.0,13606.0,24.1,27.9,28.4,35.3
2021-10-28,Somerset County,ME,55.2,27884,62.5,64.8,85.0,96.5,29795.0,59.0,66.8,69.0,89.4
2021-10-28,Cheboygan County,MI,51.9,13129,57.7,60.0,78.0,97.9,13857.0,54.8,60.8,63.4,81.5
2021-10-28,St. Louis County,MO,55.9,555648,65.2,66.2,84.3,91.2,633128.0,63.7,74.3,75.2,93.6
2021-10-28,Marshall County,MS,47.1,16611,54.5,56.4,80.6,98.3,19425.0,55.0,63.7,65.5,88.5
2021-10-28,Mesa County,CO,44.3,68337,51.4,53.4,78.1,97.4,74776.0,48.5,56.2,58.4,84.4
2021-10-28,Montgomery County,IL,40.6,11538,46.7,48.6,73.6,97.8,14584.0,51.3,59.0,60.9,87.0
2021-10-28,Fulton County,OH,47.5,20030,56.0,59.1,85.0,98.7,21337.0,50.7,59.7,62.9,88.1
2021-10-28,Coffee County,GA,27.8,12009,33.2,34.7,50.1,57.9,14173.0,32.8,39.2,40.6,54.8
2021-10-28,Stokes County,NC,41.5,18938,47.0,48.9,69.0,97.3,21938.0,48.1,54.4,56.6,78.1
2021-10-28,Wayne County,OH,40.6,47028,48.3,51.0,78.2,98.7,49634.0,42.9,51.0,53.7,80.6
2021-10-28,Stanislaus County,CA,49.9,274706,60.6,63.0,79.1,97.4,392771.0,71.3,86.5,90.2,99.9
2021-10-28,Pennington County,MN,45.6,6437,53.7,55.1,75.2,94.5,6719.0,47.6,0.0,0.0,0.0
2021-10-28,Johnson County,NE,49.3,2499,56.0,58.3,74.7,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,Person County,NC,50.2,19842,57.9,60.2,81.3,97.3,22874.0,57.9,66.8,69.3,91.4
2021-10-28,Walthall County,MS,36.2,5174,42.3,44.2,62.1,98.3,5908.0,41.4,48.3,50.0,65.2
